x (mm),y (mm),x (m),y (m), pos_x ,pos_y,n
-80863.5651,32335.0733,-80.8635651,32.3350733,9.1364349,32.3350733,160
-79619.7692,34385.6971,-79.6197692,34.3856971,10.3802308,34.3856971,161
-81019.7692,34385.6971,-81.0197692,34.3856971,8.9802308,34.3856971,162
-80129.9746,32335.0733,-80.1299746,32.3350733,9.8700254,32.3350733,163
-78437.75,32373.2572,-78.43775,32.3732572,11.56225,32.3732572,164
-80129.9746,31615.1126,-80.1299746,31.6151126,9.8700254,31.6151126,165
-80863.5651,31615.1126,-80.8635651,31.6151126,9.1364349,31.6151126,166
-75419.7692,36288.5973,-75.4197692,36.2885973,14.5802308,36.2885973,167
-76819.7692,34385.6971,-76.8197692,34.3856971,13.1802308,34.3856971,168
-76819.7692,36288.5973,-76.8197692,36.2885973,13.1802308,36.2885973,169
-75419.7692,34385.6971,-75.4197692,34.3856971,14.5802308,34.3856971,170
-78219.7692,34385.6971,-78.2197692,34.3856971,11.7802308,34.3856971,171
-78219.7692,36288.5973,-78.2197692,36.2885973,11.7802308,36.2885973,172
-79619.7692,36288.5973,-79.6197692,36.2885973,10.3802308,36.2885973,173
-81019.7692,36288.5973,-81.0197692,36.2885973,8.9802308,36.2885973,174
-75944.1013,32373.2572,-75.9441013,32.3732572,14.0558987,32.3732572,175
-80656.9158,24861.8304,-80.6569158,24.8618304,9.3430842,24.8618304,176
-82056.9158,24861.8304,-82.0569158,24.8618304,7.9430842,24.8618304,177
-82498.2744,26879.4177,-82.4982744,26.8794177,7.5017256,26.8794177,178
-79256.9158,24861.8304,-79.2569158,24.8618304,10.7430842,24.8618304,179
-80656.9158,22958.9303,-80.6569158,22.9589303,9.3430842,22.9589303,180
-79256.9158,22958.9303,-79.2569158,22.9589303,10.7430842,22.9589303,181
-77232.9892,23933.7733,-77.2329892,23.9337733,12.7670108,23.9337733,182
-75944.1013,26773.2572,-75.9441013,26.7732572,14.0558987,26.7732572,183
-78437.75,29573.2572,-78.43775,29.5732572,11.56225,29.5732572,184
-78437.75,30973.2572,-78.43775,30.9732572,11.56225,30.9732572,185
-75944.1013,30973.2572,-75.9441013,30.9732572,14.0558987,30.9732572,186
-75944.1013,29573.2572,-75.9441013,29.5732572,14.0558987,29.5732572,187
-78437.75,26773.2572,-78.43775,26.7732572,11.56225,26.7732572,188
-78437.75,28173.2572,-78.43775,28.1732572,11.56225,28.1732572,189
-75944.1013,28173.2572,-75.9441013,28.1732572,14.0558987,28.1732572,190
-37073.142,13016.8478,-37.073142,13.0168478,52.926858,13.0168478,191
-35673.142,13016.8478,-35.673142,13.0168478,54.326858,13.0168478,192
-34273.142,13016.8478,-34.273142,13.0168478,55.726858,13.0168478,193
-37073.142,11113.9477,-37.073142,11.1139477,52.926858,11.1139477,194
-32873.142,11113.9477,-32.873142,11.1139477,57.126858,11.1139477,195
-34273.142,11113.9477,-34.273142,11.1139477,55.726858,11.1139477,196
-35673.142,11113.9477,-35.673142,11.1139477,54.326858,11.1139477,197
-32873.142,13016.8478,-32.873142,13.0168478,57.126858,13.0168478,198
-46251.4491,16532.6362,-46.2514491,16.5326362,43.7485509,16.5326362,199
-47083.9509,16544.9601,-47.0839509,16.5449601,42.9160491,16.5449601,200
-47883.2514,16589.8802,-47.8832514,16.5898802,42.1167486,16.5898802,201
-45418.9473,16544.9601,-45.4189473,16.5449601,44.5810527,16.5449601,202
-43251.4491,17125.1948,-43.2514491,17.1251948,46.7485509,17.1251948,203
-43873.8788,16661.3301,-43.8738788,16.6613301,46.1261212,16.6613301,204
-44619.6468,16589.8802,-44.6196468,16.5898802,45.3803532,16.5898802,205
-33334.1393,9648.0375,-33.3341393,9.6480375,56.6658607,9.6480375,206
-40019.7086,6505.1882,-40.0197086,6.5051882,49.9802914,6.5051882,207
-42513.3573,6505.1882,-42.5133573,6.5051882,47.4866427,6.5051882,208
-42098.5448,4785.2548,-42.0985448,4.7852548,47.9014552,4.7852548,209
-40019.7086,7905.1882,-40.0197086,7.9051882,49.9802914,7.9051882,210
-38706.0146,12042.0049,-38.7060146,12.0420049,51.2939854,12.0420049,211
-42513.3573,9305.1882,-42.5133573,9.3051882,47.4866427,9.3051882,212
-40019.7086,9305.1882,-40.0197086,9.3051882,49.9802914,9.3051882,213
-40498.5448,4785.2548,-40.4985448,4.7852548,49.5014552,4.7852548,214
-37679.2298,9648.0375,-37.6792298,9.6480375,52.3207702,9.6480375,215
-36134.1393,9648.0375,-36.1341393,9.6480375,53.8658607,9.6480375,216
-34734.1393,9648.0375,-34.7341393,9.6480375,55.2658607,9.6480375,217
-37734.1393,7745.1374,-37.7341393,7.7451374,52.2658607,7.7451374,218
-37083.1341,4796.6855,-37.0831341,4.7966855,52.9168659,4.7966855,219
-34734.1393,7745.1374,-34.7341393,7.7451374,55.2658607,7.7451374,220
-36134.1393,7745.1374,-36.1341393,7.7451374,53.8658607,7.7451374,221
-48629.0194,16661.3301,-48.6290194,16.6613301,41.3709806,16.6613301,222
-47083.9509,21139.4603,-47.0839509,21.1394603,42.9160491,21.1394603,223
-47883.2514,21094.5403,-47.8832514,21.0945403,42.1167486,21.0945403,224
-48629.0194,21023.0903,-48.6290194,21.0230903,41.3709806,21.0230903,225
-46251.4491,21151.7842,-46.2514491,21.1517842,43.7485509,21.1517842,226
-43873.8788,21023.0903,-43.8738788,21.0230903,46.1261212,21.0230903,227
-44619.6468,21094.5403,-44.6196468,21.0945403,45.3803532,21.0945403,228
-45418.9473,21139.4603,-45.4189473,21.1394603,44.5810527,21.1394603,229
-49251.4491,20559.2258,-49.2514491,20.5592258,40.7485509,20.5592258,230
-54552.52,18781.0797,-54.55252,18.7810797,35.44748,18.7810797,231
-55798.3154,18781.0797,-55.7983154,18.7810797,34.2016846,18.7810797,232
-53899.9869,21341.4081,-53.8999869,21.3414081,36.1000131,21.3414081,233
-53152.52,18781.0797,-53.15252,18.7810797,36.84748,18.7810797,234
-55798.3154,16878.1796,-55.7983154,16.8781796,34.2016846,16.8781796,235
-54552.52,16878.1796,-54.55252,16.8781796,35.44748,16.8781796,236
-53152.52,16878.1796,-53.15252,16.8781796,36.84748,16.8781796,237
-43251.4491,20559.2258,-43.2514491,20.5592258,46.7485509,20.5592258,238
-46251.4491,17717.7532,-46.2514491,17.7177532,43.7485509,17.7177532,239
-47083.9509,17705.4293,-47.0839509,17.7054293,42.9160491,17.7054293,240
-47883.2514,17660.5092,-47.8832514,17.6605092,42.1167486,17.6605092,241
-45418.9473,17705.4293,-45.4189473,17.7054293,44.5810527,17.7054293,242
-49251.4491,17125.1948,-49.2514491,17.1251948,40.7485509,17.1251948,243
-43873.8788,17589.0593,-43.8738788,17.5890593,46.1261212,17.5890593,244
-44619.6468,17660.5092,-44.6196468,17.6605092,45.3803532,17.6605092,245
-48629.0194,17589.0593,-48.6290194,17.5890593,41.3709806,17.5890593,246
-45418.9473,19978.9911,-45.4189473,19.9789911,44.5810527,19.9789911,247
-44619.6468,20023.9112,-44.6196468,20.0239112,45.3803532,20.0239112,248
-43873.8788,20095.3611,-43.8738788,20.0953611,46.1261212,20.0953611,249
-46251.4491,19966.6673,-46.2514491,19.9666673,43.7485509,19.9666673,250
-48629.0194,20095.3611,-48.6290194,20.0953611,41.3709806,20.0953611,251
-47883.2514,20023.9112,-47.8832514,20.0239112,42.1167486,20.0239112,252
-47083.9509,19978.9911,-47.0839509,19.9789911,42.9160491,19.9789911,253
